observation_id,strain,concentration_ugml,treatment,timepoint_hrs,biological_replicate,technical_replicate,plate,od600_planktonic,log10_cfu_ml,biofilm_od570,metabolic_rfu,pct_inhibition_od600,pct_inhibition_biofilm,pct_inhibition_metabolic
OBS_00057,PAO1,8,AMP-247,12,1,3,Plate_A,0.5217,9.65,0.4775,12777,19.0,-2.2,-11.1
OBS_00058,PAO1,8,AMP-247,24,1,1,Plate_A,0.6552,9.4,0.4885,13552,17.6,18.2,4.8
OBS_00059,PAO1,8,AMP-247,24,1,2,Plate_A,0.7537,9.72,0.633,14244,5.2,-6.0,-0.1
OBS_00060,PAO1,8,AMP-247,24,1,3,Plate_A,0.69,10.01,0.5588,12035,13.2,6.4,15.5
OBS_00061,PAO1,16,AMP-247,4,1,1,Plate_A,0.2054,9.43,0.1442,9116,35.4,51.1,-66.9
OBS_00062,PAO1,16,AMP-247,4,1,2,Plate_A,0.1932,8.48,0.3022,6057,39.3,-2.4,-10.9
OBS_00063,PAO1,16,AMP-247,4,1,3,Plate_A,0.266,9.14,0.1901,6134,16.4,35.6,-12.3
OBS_00064,PAO1,16,AMP-247,8,1,1,Plate_A,0.3629,9.21,0.4361,6385,27.8,-8.3,33.9
OBS_00065,PAO1,16,AMP-247,8,1,2,Plate_A,0.3937,9.78,0.3092,7833,21.7,23.2,18.9
OBS_00066,PAO1,16,AMP-247,8,1,3,Plate_A,0.3944,9.39,0.329,10324,21.5,18.3,-6.9
OBS_00067,PAO1,16,AMP-247,12,1,1,Plate_A,0.4319,9.15,0.5203,9829,32.9,-11.4,14.5
OBS_00068,PAO1,16,AMP-247,12,1,2,Plate_A,0.5063,10.06,0.4102,14352,21.4,12.2,-24.8
OBS_00069,PAO1,16,AMP-247,12,1,3,Plate_A,0.5305,8.92,0.5878,10637,17.6,-25.9,7.5
OBS_00070,PAO1,16,AMP-247,24,1,1,Plate_A,0.6841,9.9,0.3988,12522,14.0,33.2,12.0
OBS_00071,PAO1,16,AMP-247,24,1,2,Plate_A,0.6548,9.86,0.3703,17839,17.6,38.0,-25.3
OBS_00072,PAO1,16,AMP-247,24,1,3,Plate_A,0.6472,9.71,0.5878,9830,18.6,1.6,30.9
OBS_00073,PAO1,32,AMP-247,4,1,1,Plate_A,0.207,9.04,0.2322,5588,34.9,21.3,-2.3
OBS_00074,PAO1,32,AMP-247,4,1,2,Plate_A,0.1247,8.82,0.2413,6054,60.8,18.2,-10.9
OBS_00075,PAO1,32,AMP-247,4,1,3,Plate_A,0.196,8.53,0.309,5658,38.4,-4.7,-3.6
OBS_00076,PAO1,32,AMP-247,8,1,1,Plate_A,0.4516,9.29,0.4204,8852,10.1,-4.4,8.4
OBS_00077,PAO1,32,AMP-247,8,1,2,Plate_A,0.4632,9.36,0.4316,11033,7.8,-7.1,-14.2
OBS_00078,PAO1,32,AMP-247,8,1,3,Plate_A,0.5213,9.02,0.3639,9142,-3.7,9.7,5.4
OBS_00079,PAO1,32,AMP-247,12,1,1,Plate_A,0.4913,9.55,0.4466,12036,23.7,4.4,-4.7
OBS_00080,PAO1,32,AMP-247,12,1,2,Plate_A,0.5511,9.6,0.6295,11553,14.4,-34.8,-0.5
OBS_00081,PAO1,32,AMP-247,12,1,3,Plate_A,0.5638,9.32,0.4818,10550,12.5,-3.2,8.3
OBS_00082,PAO1,32,AMP-247,24,1,1,Plate_A,0.52,9.87,0.6494,15718,34.6,-8.7,-10.4
OBS_00083,PAO1,32,AMP-247,24,1,2,Plate_A,0.7413,9.8,0.6062,13636,6.8,-1.5,4.2
OBS_00084,PAO1,32,AMP-247,24,1,3,Plate_A,0.6951,10.46,0.4381,16101,12.6,26.6,-13.1
OBS_00085,PAO1,64,AMP-247,4,1,1,Plate_A,0.2763,8.72,0.2341,6096,13.2,20.7,-11.6
OBS_00086,PAO1,64,AMP-247,4,1,2,Plate_A,0.2001,9.46,0.1814,4077,37.1,38.5,25.3
OBS_00087,PAO1,64,AMP-247,4,1,3,Plate_A,0.1939,9.22,0.1889,4428,39.1,36.0,18.9
OBS_00088,PAO1,64,AMP-247,8,1,1,Plate_A,0.4785,9.22,0.3514,11166,4.8,12.8,-15.6
OBS_00089,PAO1,64,AMP-247,8,1,2,Plate_A,0.3844,9.48,0.4253,9875,23.5,-5.6,-2.2
OBS_00090,PAO1,64,AMP-247,8,1,3,Plate_A,0.4318,9.52,0.3511,10013,14.1,12.8,-3.6
OBS_00091,PAO1,64,AMP-247,12,1,1,Plate_A,0.5049,9.57,0.5316,10498,21.6,-13.8,8.7
OBS_00092,PAO1,64,AMP-247,12,1,2,Plate_A,0.5124,9.49,0.4885,10573,20.4,-4.6,8.1
OBS_00093,PAO1,64,AMP-247,12,1,3,Plate_A,0.5394,9.43,0.4808,12813,16.2,-3.0,-11.4
OBS_00094,PAO1,64,AMP-247,24,1,1,Plate_A,0.6662,9.58,0.503,16691,16.2,15.8,-17.3
OBS_00095,PAO1,64,AMP-247,24,1,2,Plate_A,0.6546,9.73,0.5429,11649,17.7,9.1,18.2
OBS_00096,PAO1,64,AMP-247,24,1,3,Plate_A,0.6833,9.64,0.3718,13191,14.1,37.7,7.3
OBS_00097,PAO1,0,Vehicle,4,2,1,Plate_B,0.4061,9.47,0.4994,8564,-27.6,-69.2,-56.8
OBS_00098,PAO1,0,Vehicle,4,2,2,Plate_B,0.5582,9.54,0.4722,3392,-75.4,-60.0,37.9
OBS_00099,PAO1,0,Vehicle,4,2,3,Plate_B,0.4139,9.15,0.395,6274,-30.1,-33.9,-14.9
OBS_00100,PAO1,0,Vehicle,8,2,1,Plate_B,0.5757,9.68,0.3291,11174,-14.5,18.3,-15.7
OBS_00101,PAO1,0,Vehicle,8,2,2,Plate_B,0.6387,9.96,0.4083,10644,-27.1,-1.4,-10.2
OBS_00102,PAO1,0,Vehicle,8,2,3,Plate_B,0.6192,10.43,0.7789,9691,-23.2,-93.4,-0.3
OBS_00103,PAO1,0,Vehicle,12,2,1,Plate_B,0.8123,9.86,0.5987,12721,-26.1,-28.2,-10.6
OBS_00104,PAO1,0,Vehicle,12,2,2,Plate_B,0.8036,9.93,0.5583,10967,-24.8,-19.5,4.6
OBS_00105,PAO1,0,Vehicle,12,2,3,Plate_B,0.8893,9.67,0.6404,12495,-38.1,-37.1,-8.7
OBS_00106,PAO1,0,Vehicle,24,2,1,Plate_B,0.9986,10.56,0.6629,15498,-25.6,-11.0,-8.9
OBS_00107,PAO1,0,Vehicle,24,2,2,Plate_B,1.0008,10.57,0.7607,13335,-25.9,-27.4,6.3
OBS_00108,PAO1,0,Vehicle,24,2,3,Plate_B,0.978,10.21,0.7158,15152,-23.0,-19.8,-6.4
OBS_00109,PAO1,1,AMP-247,4,2,1,Plate_B,0.5329,9.15,0.3955,6717,-67.5,-34.0,-23.0
OBS_00110,PAO1,1,AMP-247,4,2,2,Plate_B,0.5544,9.65,0.4197,8546,-74.2,-42.2,-56.5
OBS_00111,PAO1,1,AMP-247,4,2,3,Plate_B,0.5546,9.62,0.5707,10042,-74.3,-93.4,-83.9
OBS_00112,PAO1,1,AMP-247,8,2,1,Plate_B,0.7694,9.54,0.5229,8082,-53.1,-29.8,16.3
OBS_00113,PAO1,1,AMP-247,8,2,2,Plate_B,0.633,9.64,0.5286,10521,-25.9,-31.2,-8.9
OBS_00114,PAO1,1,AMP-247,8,2,3,Plate_B,0.7834,10.08,0.4668,10287,-55.9,-15.9,-6.5
OBS_00115,PAO1,1,AMP-247,12,2,1,Plate_B,0.8256,9.98,0.6043,13628,-28.2,-29.4,-18.5
OBS_00116,PAO1,1,AMP-247,12,2,2,Plate_B,0.756,9.49,0.7124,12113,-17.4,-52.5,-5.3
OBS_00117,PAO1,1,AMP-247,12,2,3,Plate_B,0.7601,9.62,0.4899,12293,-18.0,-4.9,-6.9
OBS_00118,PAO1,1,AMP-247,24,2,1,Plate_B,0.8612,10.56,0.6213,17252,-8.3,-4.0,-21.2
OBS_00119,PAO1,1,AMP-247,24,2,2,Plate_B,0.9745,9.99,0.7798,14138,-22.6,-30.6,0.7
OBS_00120,PAO1,1,AMP-247,24,2,3,Plate_B,1.0044,10.47,0.8247,15158,-26.3,-38.1,-6.5
OBS_00121,PAO1,2,AMP-247,4,2,1,Plate_B,0.5362,9.16,0.3716,6618,-68.5,-25.9,-21.2
OBS_00122,PAO1,2,AMP-247,4,2,2,Plate_B,0.5111,9.25,0.3063,6093,-60.6,-3.8,-11.6
OBS_00123,PAO1,2,AMP-247,4,2,3,Plate_B,0.5958,9.54,0.5155,7797,-87.2,-74.7,-42.8
OBS_00124,PAO1,2,AMP-247,8,2,1,Plate_B,0.6755,10.1,0.513,10251,-34.4,-27.4,-6.1
OBS_00125,PAO1,2,AMP-247,8,2,2,Plate_B,0.724,10.14,0.6041,7784,-44.1,-50.0,19.4
OBS_00126,PAO1,2,AMP-247,8,2,3,Plate_B,0.7257,9.52,0.6952,9806,-44.4,-72.6,-1.5
OBS_00127,PAO1,2,AMP-247,12,2,1,Plate_B,0.7405,9.65,0.6405,14977,-15.0,-37.1,-30.2
OBS_00128,PAO1,2,AMP-247,12,2,2,Plate_B,0.8843,10.01,0.6062,9806,-37.3,-29.8,14.7
OBS_00129,PAO1,2,AMP-247,12,2,3,Plate_B,0.7866,9.78,0.5483,13272,-22.1,-17.4,-15.4
OBS_00130,PAO1,2,AMP-247,24,2,1,Plate_B,0.8869,10.35,0.6529,16561,-11.5,-9.3,-16.3
OBS_00131,PAO1,2,AMP-247,24,2,2,Plate_B,0.9356,10.16,0.7316,12280,-17.7,-22.5,13.7
OBS_00132,PAO1,2,AMP-247,24,2,3,Plate_B,0.9374,10.32,0.6812,12819,-17.9,-14.1,9.9
OBS_00133,PAO1,4,AMP-247,4,2,1,Plate_B,0.4584,9.44,0.3861,6721,-44.1,-30.8,-23.1
OBS_00134,PAO1,4,AMP-247,4,2,2,Plate_B,0.4327,9.23,0.451,7956,-36.0,-52.8,-45.7
OBS_00135,PAO1,4,AMP-247,4,2,3,Plate_B,0.4824,9.48,0.4519,7387,-51.6,-53.1,-35.3
OBS_00136,PAO1,4,AMP-247,8,2,1,Plate_B,0.7151,10.17,0.566,10316,-42.3,-40.5,-6.8
OBS_00137,PAO1,4,AMP-247,8,2,2,Plate_B,0.634,9.89,0.6608,12712,-26.1,-64.0,-31.6
OBS_00138,PAO1,4,AMP-247,8,2,3,Plate_B,0.5383,9.95,0.4747,7354,-7.1,-17.8,23.9
OBS_00139,PAO1,4,AMP-247,12,2,1,Plate_B,0.8463,10.07,0.5469,12113,-31.4,-17.1,-5.3
OBS_00140,PAO1,4,AMP-247,12,2,2,Plate_B,0.9156,9.99,0.5777,11434,-42.2,-23.7,0.6
OBS_00141,PAO1,4,AMP-247,12,2,3,Plate_B,0.8671,9.62,0.566,11525,-34.6,-21.2,-0.2
OBS_00142,PAO1,4,AMP-247,24,2,1,Plate_B,0.825,10.72,0.642,13885,-3.8,-7.5,2.5
OBS_00143,PAO1,4,AMP-247,24,2,2,Plate_B,0.8947,9.99,0.615,14422,-12.5,-3.0,-1.3
OBS_00144,PAO1,4,AMP-247,24,2,3,Plate_B,0.8957,10.07,0.7991,14425,-12.6,-33.8,-1.3
OBS_00145,PAO1,8,AMP-247,4,2,1,Plate_B,0.5146,9.29,0.4037,6359,-61.7,-36.8,-16.5
OBS_00146,PAO1,8,AMP-247,4,2,2,Plate_B,0.5018,9.53,0.3377,6059,-57.7,-14.4,-11.0
OBS_00147,PAO1,8,AMP-247,4,2,3,Plate_B,0.5044,9.3,0.4848,9816,-58.5,-64.3,-79.8
OBS_00148,PAO1,8,AMP-247,8,2,1,Plate_B,0.7925,9.46,0.6694,7014,-57.7,-66.2,27.4
OBS_00149,PAO1,8,AMP-247,8,2,2,Plate_B,0.7392,10.19,0.6731,10236,-47.1,-67.1,-6.0
OBS_00150,PAO1,8,AMP-247,8,2,3,Plate_B,0.6714,10.04,0.6205,13179,-33.6,-54.0,-36.4
OBS_00151,PAO1,8,AMP-247,12,2,1,Plate_B,0.8772,9.73,0.5299,12168,-36.2,-13.5,-5.8
OBS_00152,PAO1,8,AMP-247,12,2,2,Plate_B,0.7965,9.72,0.5679,11144,-23.7,-21.6,3.1
OBS_00153,PAO1,8,AMP-247,12,2,3,Plate_B,0.7523,9.6,0.6217,12920,-16.8,-33.1,-12.3
OBS_00154,PAO1,8,AMP-247,24,2,1,Plate_B,0.934,9.72,0.7443,16770,-17.5,-24.6,-17.8
OBS_00155,PAO1,8,AMP-247,24,2,2,Plate_B,0.9358,10.32,0.7352,16069,-17.7,-23.1,-12.9
OBS_00156,PAO1,8,AMP-247,24,2,3,Plate_B,0.9556,9.75,0.7378,13558,-20.2,-23.5,4.8
OBS_00157,PAO1,16,AMP-247,4,2,1,Plate_B,0.5042,9.09,0.4934,7066,-58.5,-67.2,-29.4
OBS_00158,PAO1,16,AMP-247,4,2,2,Plate_B,0.565,9.43,0.4928,6911,-77.6,-67.0,-26.6
OBS_00159,PAO1,16,AMP-247,4,2,3,Plate_B,0.488,9.63,0.4573,6005,-53.4,-55.0,-10.0
OBS_00160,PAO1,16,AMP-247,8,2,1,Plate_B,0.6276,10.46,0.5621,11822,-24.9,-39.5,-22.4
OBS_00161,PAO1,16,AMP-247,8,2,2,Plate_B,0.5712,9.55,0.6215,9303,-13.7,-54.3,3.7
OBS_00162,PAO1,16,AMP-247,8,2,3,Plate_B,0.6457,9.59,0.5375,9586,-28.5,-33.4,0.8
OBS_00163,PAO1,16,AMP-247,12,2,1,Plate_B,0.8668,9.99,0.5941,15061,-34.6,-27.2,-31.0
OBS_00164,PAO1,16,AMP-247,12,2,2,Plate_B,0.7765,9.41,0.5648,11653,-20.6,-20.9,-1.3
OBS_00165,PAO1,16,AMP-247,12,2,3,Plate_B,0.913,10.07,0.4756,10887,-41.8,-1.8,5.3
OBS_00166,PAO1,16,AMP-247,24,2,1,Plate_B,1.0081,9.69,0.7384,14179,-26.8,-23.6,0.4
OBS_00167,PAO1,16,AMP-247,24,2,2,Plate_B,0.9771,10.26,0.728,14418,-22.9,-21.9,-1.3
OBS_00168,PAO1,16,AMP-247,24,2,3,Plate_B,0.9182,10.71,0.859,14194,-15.5,-43.8,0.3
OBS_00169,PAO1,32,AMP-247,4,2,1,Plate_B,0.5557,9.17,0.4408,7354,-74.6,-49.4,-34.7
OBS_00170,PAO1,32,AMP-247,4,2,2,Plate_B,0.5697,9.36,0.4953,8864,-79.0,-67.9,-62.3
OBS_00171,PAO1,32,AMP-247,4,2,3,Plate_B,0.4816,9.4,0.3909,4682,-51.4,-32.5,14.3
OBS_00172,PAO1,32,AMP-247,8,2,1,Plate_B,0.6592,9.66,0.5738,9539,-31.2,-42.4,1.3
OBS_00173,PAO1,32,AMP-247,8,2,2,Plate_B,0.6883,9.6,0.7087,11292,-37.0,-75.9,-16.9
OBS_00174,PAO1,32,AMP-247,8,2,3,Plate_B,0.7475,9.64,0.4973,11161,-48.7,-23.5,-15.5
OBS_00175,PAO1,32,AMP-247,12,2,1,Plate_B,0.7745,10.17,0.4828,10827,-20.3,-3.4,5.9
OBS_00176,PAO1,32,AMP-247,12,2,2,Plate_B,0.8527,10.07,0.4534,16146,-32.4,2.9,-40.4
OBS_00177,PAO1,32,AMP-247,12,2,3,Plate_B,0.7804,9.81,0.6793,10429,-21.2,-45.5,9.3
OBS_00178,PAO1,32,AMP-247,24,2,1,Plate_B,0.9173,10.49,0.5628,13835,-15.4,5.8,2.8
OBS_00179,PAO1,32,AMP-247,24,2,2,Plate_B,0.984,9.99,0.645,16016,-23.8,-8.0,-12.5
OBS_00180,PAO1,32,AMP-247,24,2,3,Plate_B,0.9841,10.44,0.6761,14494,-23.8,-13.2,-1.8
OBS_00181,PAO1,64,AMP-247,4,2,1,Plate_B,0.5139,9.26,0.3027,6032,-61.5,-2.6,-10.5
OBS_00182,PAO1,64,AMP-247,4,2,2,Plate_B,0.5952,9.17,0.4197,7304,-87.1,-42.2,-33.8
OBS_00183,PAO1,64,AMP-247,4,2,3,Plate_B,0.5398,10.01,0.2692,7719,-69.6,8.8,-41.4
OBS_00184,PAO1,64,AMP-247,8,2,1,Plate_B,0.792,9.74,0.4614,10160,-57.6,-14.5,-5.2
OBS_00185,PAO1,64,AMP-247,8,2,2,Plate_B,0.5753,9.96,0.7121,10207,-14.5,-76.8,-5.7
OBS_00186,PAO1,64,AMP-247,8,2,3,Plate_B,0.7016,10.43,0.5111,8290,-39.6,-26.9,14.2
OBS_00187,PAO1,64,AMP-247,12,2,1,Plate_B,0.945,9.8,0.6379,11057,-46.7,-36.6,3.9
OBS_00188,PAO1,64,AMP-247,12,2,2,Plate_B,0.7127,9.87,0.6192,14425,-10.7,-32.6,-25.4
OBS_00189,PAO1,64,AMP-247,12,2,3,Plate_B,0.8652,9.98,0.6868,14283,-34.3,-47.1,-24.2
OBS_00190,PAO1,64,AMP-247,24,2,1,Plate_B,1.057,10.2,0.6094,15817,-32.9,-2.0,-11.1
OBS_00191,PAO1,64,AMP-247,24,2,2,Plate_B,1.0476,9.88,0.7851,14674,-31.8,-31.5,-3.1
OBS_00192,PAO1,64,AMP-247,24,2,3,Plate_B,0.9288,9.9,0.8119,17249,-16.8,-35.9,-21.2
OBS_00193,PAO1,0,Vehicle,4,3,1,Plate_C,0.2403,9.27,0.1809,6089,24.5,38.7,-11.5
OBS_00194,PAO1,0,Vehicle,4,3,2,Plate_C,0.3629,8.61,0.1279,4088,-14.0,56.7,25.1
OBS_00195,PAO1,0,Vehicle,4,3,3,Plate_C,0.2085,9.18,0.2368,6469,34.5,19.7,-18.5
OBS_00196,PAO1,0,Vehicle,8,3,1,Plate_C,0.4492,9.75,0.304,8045,10.6,24.5,16.7
OBS_00197,PAO1,0,Vehicle,8,3,2,Plate_C,0.5272,9.48,0.2633,8622,-4.9,34.6,10.7
OBS_00198,PAO1,0,Vehicle,8,3,3,Plate_C,0.4362,9.5,0.4919,9213,13.2,-22.1,4.6
OBS_00199,PAO1,0,Vehicle,12,3,1,Plate_C,0.5135,9.58,0.452,9349,20.3,3.2,18.7
OBS_00200,PAO1,0,Vehicle,12,3,2,Plate_C,0.5917,9.44,0.5016,8690,8.1,-7.4,24.4
OBS_00201,PAO1,0,Vehicle,12,3,3,Plate_C,0.5192,9.71,0.3711,11592,19.4,20.5,-0.8
OBS_00202,PAO1,0,Vehicle,24,3,1,Plate_C,0.5855,9.42,0.5399,12320,26.4,9.6,13.5
OBS_00203,PAO1,0,Vehicle,24,3,2,Plate_C,0.7215,10.15,0.5182,12236,9.3,13.2,14.0
OBS_00204,PAO1,0,Vehicle,24,3,3,Plate_C,0.7082,9.88,0.5354,15917,10.9,10.4,-11.8
OBS_00205,PAO1,1,AMP-247,4,3,1,Plate_C,0.2982,9.02,0.2659,7624,6.3,9.9,-39.6
OBS_00206,PAO1,1,AMP-247,4,3,2,Plate_C,0.2705,9.09,0.1984,5460,15.0,32.8,0.0
OBS_00207,PAO1,1,AMP-247,4,3,3,Plate_C,0.2721,9.58,0.226,3881,14.5,23.4,28.9
OBS_00208,PAO1,1,AMP-247,8,3,1,Plate_C,0.47,9.53,0.4907,9402,6.5,-21.8,2.7
OBS_00209,PAO1,1,AMP-247,8,3,2,Plate_C,0.4679,9.65,0.3713,8333,6.9,7.8,13.7
OBS_00210,PAO1,1,AMP-247,8,3,3,Plate_C,0.5307,9.0,0.5245,8800,-5.6,-30.2,8.9
OBS_00211,PAO1,1,AMP-247,12,3,1,Plate_C,0.622,9.46,0.4434,12242,3.4,5.1,-6.5
OBS_00212,PAO1,1,AMP-247,12,3,2,Plate_C,0.5408,9.35,0.3918,12416,16.0,16.1,-8.0
OBS_00213,PAO1,1,AMP-247,12,3,3,Plate_C,0.5501,9.26,0.4155,12684,14.6,11.0,-10.3
OBS_00214,PAO1,1,AMP-247,24,3,1,Plate_C,0.6325,10.02,0.3758,16498,20.5,37.1,-15.9
OBS_00215,PAO1,1,AMP-247,24,3,2,Plate_C,0.762,9.57,0.5781,12428,4.2,3.2,12.7
OBS_00216,PAO1,1,AMP-247,24,3,3,Plate_C,0.7688,10.03,0.6506,16726,3.3,-8.9,-17.5
OBS_00217,PAO1,2,AMP-247,4,3,1,Plate_C,0.2261,9.17,0.1343,6939,28.9,54.5,-27.1
OBS_00218,PAO1,2,AMP-247,4,3,2,Plate_C,0.232,9.07,0.1775,6902,27.1,39.8,-26.4
OBS_00219,PAO1,2,AMP-247,4,3,3,Plate_C,0.2745,9.16,0.309,5141,13.7,-4.7,5.9
OBS_00220,PAO1,2,AMP-247,8,3,1,Plate_C,0.4246,9.24,0.2876,11755,15.5,28.6,-21.7
